Customer Name,Customer feedback,Feedback code,Feedback main theme,Feedback Secondary theme,Feedback type,Feedback submitted
Scopely,"TM fuzzy matching, including 101% (order matching)
",TM fuzzy matching,["Translation memory"],,Feature request,2020-09-13T17:00:00Z
Scopely,Glossaries (terminology) support,Glossary support ,["Glossary/Term"],,Feature request,2020-09-13T17:00:00Z
Scopely,"Be able to export and import translations in multiple languages (into one xls file, with target languages in different columns in same sheet)",One-file multi-language export,["Export"],,Feature request,2020-09-13T17:00:00Z
Scopely,Be able to read/write from a specific branch via the API,Read/write from specific branch via API,["Branch"],API,Feature request,2020-09-13T17:00:00Z
Scopely,"More elaborate comments system, with a overview area of all comments",Comments overview section,["Comments"],,Feature request,2020-09-13T17:00:00Z
Bending Spoons,"Very interested in screenshot demo part, this seems important to her directly as is an overhead she would like to remove/reduce. ",Interested in screenshot,["Screenshot"],,Positive feedback,2021-05-19T17:00:00Z
Bending Spoons,Would ideally like a Unity plugin.,Unity plugin,["Integration/plugin"],Unity,Feature request,2021-05-19T17:00:00Z
Bending Spoons,"Would like to know if there are any specific unsupported file formats
",Unsupported file formats,["Export/Import formats"],,Question,2021-05-19T17:00:00Z
Bending Spoons,"How easy is it to set up a similar Grid to the one in the demo. And from that point, how easy to create similar Grids for different projects (but different fonts, screenshots, etc)?
",How easy to set up grid?,["Setup"],,Question,2021-05-19T17:00:00Z
Bending Spoons,"On a similar topic, is it possible to do this with video? I suggested not but wanted to check.
",Is it possible to do this with video?,["Other"],,Other,2021-05-19T17:00:00Z
Bending Spoons,"Also interested in the TTX, how difficult to set up?",How easy to set up TTX?,["Setup"],,Question,2021-05-19T17:00:00Z
 Nordeus,"How would a person know they got a comment?


",Comment notification,["Comments"],,Question,2020-09-20T17:00:00Z
 Nordeus,"Being a cloud product, is Gridly secure?",Security,["Security"],,Question,2020-09-20T17:00:00Z
 Nordeus,"Does it have a mobile client?
",Mobile client,["Other"],,Question,2020-09-20T17:00:00Z
 Avalanche Studios,Any limits on text fields?,Text field limitiation,["Length limit"],,Question,2020-09-28T17:00:00Z
 Avalanche Studios,Can Gridly do language QA checks?,LQA check,["LQA"],,Question,2020-09-28T17:00:00Z
 Avalanche Studios,"Does it support row order for dialogues? 
",Row order,["Row order"],,Question,2020-09-28T17:00:00Z
Playrix,Interested in Memoq integration,MemoQ integration,"[""Integration/plugin"",""MemoQ""]",,Positive feedback,2020-10-13T17:00:00Z
Playrix,"Moving their marketing materials from Google sheets
",Moving marketing materials from GSheet,["Other"],,Other,2020-10-13T17:00:00Z
