_pathTag,"Test Case Description",Priority,"Can Automate","Is Automated","Validation points","Test Step Description"
,"Sign up by email is already in uses",Medium,true,true,,"<li>Go to the register page. (https://app.gridly.com/getstarted)</li><li>Input email to field and click on &quot;Next&quot; button (Email is already in use)</li>"
,"Sign up by email is not in the correct format",Medium,false,false,,"<li>Go to the register page. (https://app.gridly.com/getstarted)</li><li>Input email to field and click on &quot;Next&quot; button. (Email is not correct format)</li>"
,"Sign up by company's name is already in use",Medium,false,false,,"<p>Go to the register page. (https://app.gridly.com/getstarted)</p><li>Input email to field and click on &quot;Next&quot; button</li><li>Input &quot;First name&quot;, &quot;Last name&quot; and &quot;Password&quot;.</li><li>Input &quot;Company&#39;s name&quot; and &quot;company&#39;s description&quot; (Company&#39;s name is already in use)</li><li>Click on &quot;Next&quot; button.</li>"
,"Sign up by company's name is not yet used",Low,true,false,,"<li>Go to the register page. (https://app.gridly.com/getstarted)</li><li>Input email to field and click on &quot;Next&quot; button</li><li>Input &quot;First name&quot;, &quot;Last name&quot; and &quot;Password&quot;.</li><li>Input &quot;Company&#39;s name&quot; and &quot;company&#39;s description&quot; (Company&#39;s name is not yet used)</li><li>Click on &quot;Next&quot; button.</li>"
,"Sign up by a password less than 4 characters",Low,true,false,,"<li>Go to the register page. (https://app.gridly.com/getstarted)</li><li>Input email to field and click on &quot;Next&quot; button</li><li>Input &quot;First name&quot;, &quot;Last name&quot; and &quot;Password&quot;. (Password less than 4 characters)</li>"
,"Sign up by a password greater than 4 characters",Low,true,false,,"<li>Go to the register page. (https://app.gridly.com/getstarted)</li><li>Input email to field and click on &quot;Next&quot; button</li><li>Input &quot;First name&quot;, &quot;Last name&quot; and &quot;Password&quot;. (password greater than 4 characters)</li>"
,"Input a email address not registered to use ""Forgot Password"" function",Medium,false,false,,"<li>At the login page, click the &quot;Forgot password?&quot; Button</li><li>Input a Email to field. (Email not registered)</li><li>Click on &quot;Request reset link&quot;</li>"
,"Input a email address  was registered to use ""Forgot Password"" function",Low,true,false,,"<li>At the login page, click the &quot;Forgot password?&quot; Button</li><li>Input a Email to field. (Email was registered)</li><li>Click on &quot;Request reset link&quot;</li>"
,"Input a Email address is not in the correct format to use ""Forgot Password"" function",Medium,false,false,,"<li>At the login page, click the &quot;Forgot password?&quot; Button</li><li>Input a Email to field. (Email is wrong format)</li><li>Click on &quot;Request reset link&quot;</li>"
,"Do not input a Email address to use ""Forgot Password"" function",Medium,false,false,,"<li>At the login page, click the &quot;Forgot password?&quot; Button</li><li>Don&#39;t input a Email to field.</li><li>Click on &quot;Request reset link&quot;</li>"
,"Verify user can login with registered account",Low,true,false,,"<li>Go to the login page.</li><li>Input email and password of registered account.(Registered account)</li><li>Click on &quot;Next&quot; button.</li>"
,"Login with an unregistered account",Medium,false,false,,"<li>Go to the login page.</li><li>Input email and password of unregistered account. (Unregistered account)</li><li>Click on &quot;Next&quot; button.</li>"
,"Verify user can't login with invalid account",High,true,false,,"<li>Go to the login page.</li><li>Input wrong password.</li><li>Click on &quot;Next&quot; button.</li>"
,"Login with Email  address is not in the correct format ",Medium,false,false,,"<li>Go to the login page.</li><li>Input email address is not in the correct format. </li><li>Click on &quot;Next&quot; button.</li>"
,"Verify appearance UI of 'tutorial' for the first time after creating company",Low,true,false,,
,"Verify user can switch between companies",High,true,false,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Switch Organization&quot; </li><li>Select other company to switch.</li>"
,"Create new company with company's name is not already in use",High,true,true,,"<li>Access to &quot;workspace&quot; screen.</li><li>Click on the &quot;Setting&quot; icon.</li><li>Select &quot;Switch Organization&quot; </li><li>Click on the &quot;Create a new company&quot; button</li><li>Input company&#39;s name and company&#39;s description. (company&#39;s name is not already in use)</li><li>Click on the &quot;Create&quot; button</li>"
